dataset,"{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}"
ACSF1,11.5,9.5,7.5,11.5,9.5,7.5,5.5,1.5,3.5,5.5,1.5,3.5
Adiac,9.5,11.5,7.5,9.5,11.5,7.5,5.5,1.5,3.5,5.5,1.5,3.5
ArrowHead,1.5,3.5,7.5,1.5,3.5,7.5,5.5,9.5,11.5,5.5,9.5,11.5
ArticularyWordRecognition,7.5,9.5,11.5,7.5,9.5,11.5,3.5,1.5,5.5,3.5,1.5,5.5
AtrialFibrillation,1.5,11.5,4.5,1.5,11.5,4.5,7.5,4.5,9.5,7.5,4.5,9.5
BME,4.5,9.5,9.5,4.5,9.5,9.5,4.5,1.5,9.5,4.5,1.5,9.5
BasicMotions,1.5,3.5,9.5,1.5,3.5,9.5,5.5,7.5,11.5,5.5,7.5,11.5
Beef,11.5,8.5,5.5,11.5,8.5,5.5,8.5,3.5,1.5,8.5,3.5,1.5
BeetleFly,10.5,10.5,3.5,10.5,10.5,3.5,7.5,5.5,1.5,7.5,5.5,1.5
BirdChicken,7.5,5.5,1.5,7.5,5.5,1.5,9.5,11.5,3.5,9.5,11.5,3.5
CBF,8.5,1.5,3.5,8.5,1.5,3.5,8.5,8.5,8.5,8.5,8.5,8.5
Car,6.5,3.5,1.5,6.5,3.5,1.5,9.5,11.5,6.5,9.5,11.5,6.5
Chinatown,1.5,4.5,4.5,1.5,4.5,4.5,10.5,10.5,7.5,10.5,10.5,7.5
ChlorineConcentration,5.5,7.5,1.5,5.5,7.5,1.5,11.5,3.5,9.5,11.5,3.5,9.5
CinCECGTorso,7.5,11.5,9.5,7.5,11.5,9.5,3.5,1.5,5.5,3.5,1.5,5.5
Coffee,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
Computers,9.5,7.5,1.5,9.5,7.5,1.5,3.5,11.5,5.5,3.5,11.5,5.5
Cricket,9.5,7.5,11.5,9.5,7.5,11.5,5.5,2.5,2.5,5.5,2.5,2.5
CricketX,11.5,9.5,7.5,11.5,9.5,7.5,2.5,2.5,5.5,2.5,2.5,5.5
CricketY,5.5,1.5,3.5,5.5,1.5,3.5,11.5,8.5,8.5,11.5,8.5,8.5
CricketZ,6.5,11.5,9.5,6.5,11.5,9.5,1.5,6.5,3.5,1.5,6.5,3.5
Crop,7.5,11.5,9.5,7.5,11.5,9.5,1.5,5.5,3.5,1.5,5.5,3.5
DiatomSizeReduction,5.5,5.5,5.5,5.5,5.5,5.5,11.5,5.5,5.5,11.5,5.5,5.5
DistalPhalanxOutlineAgeGroup,9.5,11.5,3.5,9.5,11.5,3.5,1.5,7.5,5.5,1.5,7.5,5.5
DistalPhalanxOutlineCorrect,3.5,9.5,5.5,3.5,9.5,5.5,1.5,11.5,7.5,1.5,11.5,7.5
DistalPhalanxTW,11.5,5.5,1.5,11.5,5.5,1.5,9.5,3.5,7.5,9.5,3.5,7.5
ECG200,3.5,1.5,5.5,3.5,1.5,5.5,9.5,7.5,11.5,9.5,7.5,11.5
ECG5000,11.5,3.5,9.5,11.5,3.5,9.5,6.5,1.5,6.5,6.5,1.5,6.5
ECGFiveDays,3.5,11.5,6.5,3.5,11.5,6.5,1.5,6.5,9.5,1.5,6.5,9.5
EOGHorizontalSignal,7.5,11.5,9.5,7.5,11.5,9.5,5.5,1.5,3.5,5.5,1.5,3.5
EOGVerticalSignal,1.5,5.5,11.5,1.5,5.5,11.5,9.5,3.5,7.5,9.5,3.5,7.5
ERing,7.5,7.5,11.5,7.5,7.5,11.5,7.5,2.5,2.5,7.5,2.5,2.5
Earthquakes,11.5,8.5,8.5,11.5,8.5,8.5,1.5,5.5,3.5,1.5,5.5,3.5
ElectricDevices,5.5,11.5,1.5,5.5,11.5,1.5,7.5,3.5,9.5,7.5,3.5,9.5
Epilepsy,9.5,11.5,6.5,9.5,11.5,6.5,3.5,6.5,1.5,3.5,6.5,1.5
EthanolLevel,7.5,10.5,10.5,7.5,10.5,10.5,4.5,4.5,1.5,4.5,4.5,1.5
FaceAll,9.5,7.5,11.5,9.5,7.5,11.5,3.5,1.5,5.5,3.5,1.5,5.5
FaceFour,11.5,9.5,3.5,11.5,9.5,3.5,3.5,3.5,7.5,3.5,3.5,7.5
FacesUCR,3.5,5.5,11.5,3.5,5.5,11.5,1.5,9.5,7.5,1.5,9.5,7.5
FiftyWords,11.5,5.5,7.5,11.5,5.5,7.5,3.5,1.5,9.5,3.5,1.5,9.5
FingerMovements,9.5,1.5,11.5,9.5,1.5,11.5,7.5,3.5,5.5,7.5,3.5,5.5
Fish,9.5,7.5,11.5,9.5,7.5,11.5,5.5,1.5,3.5,5.5,1.5,3.5
FreezerRegularTrain,5.5,5.5,5.5,5.5,5.5,5.5,11.5,5.5,5.5,11.5,5.5,5.5
FreezerSmallTrain,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
