dataset,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}"
GesturePhaseSegmentationProcessed,2.0,4.0,1.0,3.0
MiceProtein,2.0,4.0,1.0,3.0
PhishingWebsites,2.0,4.0,1.0,3.0
adult,2.0,1.0,4.0,3.0
analcatdata_authorship,1.0,2.0,3.0,4.0
analcatdata_dmft,4.0,1.0,3.0,2.0
balance-scale,4.0,2.0,3.0,1.0
bank-marketing,4.0,3.0,2.0,1.0
banknote-authentication,2.0,3.0,1.0,4.0
blood-transfusion-service-center,3.0,1.0,4.0,2.0
breast-w,3.0,2.0,4.0,1.0
car,3.0,4.0,1.0,2.0
churn,3.0,4.0,1.0,2.0
climate-model-simulation-crashes,3.0,4.0,1.0,2.0
cmc,4.0,2.0,3.0,1.0
cnae-9,1.0,3.0,2.0,4.0
connect-4,3.0,4.0,1.0,2.0
credit-approval,2.0,1.0,4.0,3.0
credit-g,1.0,4.0,3.0,2.0
cylinder-bands,2.0,4.0,1.0,3.0
diabetes,4.0,1.0,3.0,2.0
dna,4.0,3.0,1.0,2.0
dresses-sales,3.5,1.0,3.5,2.0
electricity,3.0,4.0,1.0,2.0
eucalyptus,3.0,4.0,2.0,1.0
first-order-theorem-proving,2.0,4.0,1.0,3.0
ilpd,3.0,2.0,4.0,1.0
isolet,4.0,3.0,1.0,2.0
jm1,2.0,1.0,4.0,3.0
jungle_chess_2pcs_raw_endgame_complete,4.0,2.0,3.0,1.0
kc1,3.0,4.0,2.0,1.0
kc2,3.0,1.0,4.0,2.0
kr-vs-kp,3.0,4.0,1.0,2.0
letter,2.0,4.0,1.0,3.0
madelon,4.0,3.0,2.0,1.0
mfeat-factors,2.0,4.0,1.0,3.0
mfeat-fourier,3.0,4.0,1.0,2.0
mfeat-karhunen,4.0,3.0,1.0,2.0
mfeat-morphological,3.0,2.0,4.0,1.0
mfeat-pixel,1.0,3.0,2.0,4.0
mfeat-zernike,3.0,4.0,1.0,2.0
nomao,2.0,4.0,1.0,3.0
numerai28.6,3.0,2.0,4.0,1.0
optdigits,2.0,4.0,1.0,3.0
ozone-level-8hr,3.0,4.0,2.0,1.0
pc1,1.0,4.0,2.0,3.0
pc3,1.0,3.0,2.0,4.0
pc4,3.0,4.0,1.0,2.0
pendigits,2.0,4.0,1.0,3.0
phoneme,1.0,4.0,2.0,3.0
qsar-biodeg,3.0,4.0,1.0,2.0
satimage,2.0,4.0,1.0,3.0
segment,2.0,4.0,1.0,3.0
semeion,1.0,3.0,2.0,4.0
sick,3.0,4.0,1.0,2.0
spambase,1.0,3.0,2.0,4.0
splice,4.0,3.0,1.0,2.0
steel-plates-fault,2.0,4.0,1.0,3.0
texture,3.0,4.0,1.0,2.0
tic-tac-toe,3.0,4.0,1.0,2.0
vehicle,3.0,4.0,1.0,2.0
vowel,2.0,4.0,1.0,3.0
wall-robot-navigation,3.0,4.0,1.0,2.0
wdbc,3.0,4.0,1.0,2.0
wilt,3.0,4.0,1.0,2.0
