dataset,"{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}"
GesturePhaseSegmentationProcessed,1.5,5.5,3.5,1.5,5.5,3.5,11.5,9.5,7.5,11.5,9.5,7.5
MiceProtein,9.5,11.5,7.5,9.5,11.5,7.5,1.5,3.5,5.5,1.5,3.5,5.5
PhishingWebsites,11.5,9.5,7.5,11.5,9.5,7.5,3.5,5.5,1.5,3.5,5.5,1.5
adult,11.5,7.5,9.5,11.5,7.5,9.5,3.5,1.5,5.5,3.5,1.5,5.5
analcatdata_authorship,11.5,7.5,9.5,11.5,7.5,9.5,5.5,3.5,1.5,5.5,3.5,1.5
analcatdata_dmft,11.5,7.5,5.5,11.5,7.5,5.5,3.5,1.5,9.5,3.5,1.5,9.5
balance-scale,11.5,9.5,7.5,11.5,9.5,7.5,5.5,3.5,1.5,5.5,3.5,1.5
bank-marketing,11.5,7.5,9.5,11.5,7.5,9.5,1.5,3.5,5.5,1.5,3.5,5.5
banknote-authentication,7.5,7.5,1.5,7.5,7.5,1.5,7.5,7.5,7.5,7.5,7.5,7.5
blood-transfusion-service-center,9.5,11.5,5.5,9.5,11.5,5.5,1.5,7.5,3.5,1.5,7.5,3.5
breast-w,8.5,11.5,8.5,8.5,11.5,8.5,1.5,5.5,3.5,1.5,5.5,3.5
car,7.5,9.5,11.5,7.5,9.5,11.5,5.5,3.5,1.5,5.5,3.5,1.5
churn,7.5,9.5,11.5,7.5,9.5,11.5,3.5,1.5,5.5,3.5,1.5,5.5
climate-model-simulation-crashes,5.5,1.5,3.5,5.5,1.5,3.5,11.5,9.5,7.5,11.5,9.5,7.5
cmc,7.5,9.5,11.5,7.5,9.5,11.5,5.5,3.5,1.5,5.5,3.5,1.5
cnae-9,9.5,11.5,7.5,9.5,11.5,7.5,5.5,3.5,1.5,5.5,3.5,1.5
credit-approval,11.5,7.5,9.5,11.5,7.5,9.5,1.5,3.5,5.5,1.5,3.5,5.5
credit-g,9.5,11.5,7.5,9.5,11.5,7.5,3.5,5.5,1.5,3.5,5.5,1.5
cylinder-bands,7.5,9.5,11.5,7.5,9.5,11.5,5.5,3.5,1.5,5.5,3.5,1.5
diabetes,7.5,11.5,9.5,7.5,11.5,9.5,1.5,5.5,3.5,1.5,5.5,3.5
dna,11.5,9.5,7.5,11.5,9.5,7.5,5.5,1.5,3.5,5.5,1.5,3.5
dresses-sales,5.5,11.5,9.5,5.5,11.5,9.5,3.5,7.5,1.5,3.5,7.5,1.5
electricity,3.5,5.5,1.5,3.5,5.5,1.5,11.5,9.5,7.5,11.5,9.5,7.5
eucalyptus,3.5,1.5,5.5,3.5,1.5,5.5,9.5,11.5,7.5,9.5,11.5,7.5
first-order-theorem-proving,7.5,3.5,1.5,7.5,3.5,1.5,9.5,5.5,11.5,9.5,5.5,11.5
ilpd,11.5,7.5,9.5,11.5,7.5,9.5,1.5,3.5,5.5,1.5,3.5,5.5
jm1,7.5,11.5,9.5,7.5,11.5,9.5,1.5,3.5,5.5,1.5,3.5,5.5
jungle_chess_2pcs_raw_endgame_complete,9.5,5.5,3.5,9.5,5.5,3.5,11.5,7.5,1.5,11.5,7.5,1.5
kc1,11.5,7.5,9.5,11.5,7.5,9.5,5.5,3.5,1.5,5.5,3.5,1.5
kc2,5.5,7.5,9.5,5.5,7.5,9.5,11.5,3.5,1.5,11.5,3.5,1.5
kr-vs-kp,8.5,11.5,8.5,8.5,11.5,8.5,3.5,5.5,1.5,3.5,5.5,1.5
letter,9.5,7.5,11.5,9.5,7.5,11.5,3.5,5.5,1.5,3.5,5.5,1.5
mfeat-factors,4.5,4.5,4.5,4.5,4.5,4.5,11.5,4.5,9.5,11.5,4.5,9.5
mfeat-fourier,7.5,4.5,4.5,7.5,4.5,4.5,9.5,11.5,1.5,9.5,11.5,1.5
mfeat-karhunen,7.5,11.5,9.5,7.5,11.5,9.5,3.5,1.5,5.5,3.5,1.5,5.5
mfeat-morphological,2.5,5.5,8.5,2.5,5.5,8.5,2.5,8.5,11.5,2.5,8.5,11.5
mfeat-pixel,9.5,11.5,7.5,9.5,11.5,7.5,1.5,3.5,5.5,1.5,3.5,5.5
mfeat-zernike,11.5,9.5,7.5,11.5,9.5,7.5,5.5,1.5,3.5,5.5,1.5,3.5
optdigits,7.5,11.5,9.5,7.5,11.5,9.5,5.5,1.5,3.5,5.5,1.5,3.5
ozone-level-8hr,3.5,1.5,11.5,3.5,1.5,11.5,9.5,6.5,6.5,9.5,6.5,6.5
pc1,3.5,5.5,1.5,3.5,5.5,1.5,11.5,9.5,7.5,11.5,9.5,7.5
pc3,7.5,11.5,9.5,7.5,11.5,9.5,3.5,1.5,5.5,3.5,1.5,5.5
pc4,9.5,1.5,3.5,9.5,1.5,3.5,5.5,7.5,11.5,5.5,7.5,11.5
pendigits,11.5,7.5,9.5,11.5,7.5,9.5,5.5,1.5,3.5,5.5,1.5,3.5
phoneme,1.5,3.5,5.5,1.5,3.5,5.5,7.5,9.5,11.5,7.5,9.5,11.5
qsar-biodeg,3.5,11.5,7.5,3.5,11.5,7.5,9.5,1.5,5.5,9.5,1.5,5.5
satimage,5.5,3.5,1.5,5.5,3.5,1.5,7.5,10.5,10.5,7.5,10.5,10.5
segment,7.5,9.5,11.5,7.5,9.5,11.5,5.5,1.5,3.5,5.5,1.5,3.5
semeion,11.5,9.5,7.5,11.5,9.5,7.5,5.5,3.5,1.5,5.5,3.5,1.5
sick,5.5,1.5,3.5,5.5,1.5,3.5,11.5,7.5,9.5,11.5,7.5,9.5
spambase,7.5,9.5,11.5,7.5,9.5,11.5,5.5,3.5,1.5,5.5,3.5,1.5
splice,1.5,10.5,3.5,1.5,10.5,3.5,6.5,6.5,10.5,6.5,6.5,10.5
